name,team,battingStyle,bowlingStyle,playingRole,description
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"Ebadat Hossain Chowdhury's journey from being a volleyball player for Bangladesh Air Force to becoming a Test cricketer in February 2019 was a short, and interesting, one. Living in their barracks, Ebadat dreamt of bowling like Brett Lee one day. His dream came true when he took part in the 2016 Robi Pacer Hunt in Faridpur, crisscrossing 342km southwest from his hometown Sylhet. He was one of the top three bowlers, and was duly picked by the scouts to a training camp in Dhaka."
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A clean-hitting, wicketkeeper batsman, Heinrich Klaasen emerged on the scene at the same time that Quinton de Kock nailed down a place in the South African team, across all formats. As someone who had always combined the disciplines of batting and glovework, Klaasen hoped to make it in either skill and establish himself as all-round option, if required."
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt."
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter,"In a career of twists and turns, Steven Smith started out as a legspinner and become Australia's best batter since Sir Donald Bradman, either side of having his career derailed by a ball-tampering scandal that saw him stripped of the captaincy and banned for 12 months."
Matthew Wade(c),Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,It has been a career of reinvention for Matthew Wade as he went from Test wicketkeeper to specialist middle-order batsman to T20I World Cup winning wicketkeeper/finisher via a prolific run in domestic cricket when it appeared his international days were over.
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad."
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in the sporting world was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter,"A match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team."
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler,
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Regis Chakabva(c),Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batsman, Regis Chakabva's path in cricket took him through Highfields, Churchill, on to Takashinga, provincial cricket and eventually regular appearances in Zimbabwe's Twenty20, ODI and Test teams. At each level, Chakabva has improved his game and he is maturing into a fine batsman and tidy wicketkeeper."
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
