match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs Pakistan,New Zealand,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,T20I # 1877
India Vs England,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,T20I # 1878
India Vs England,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,T20I # 1878
India Vs England,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,T20I # 1878
India Vs England,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,T20I # 1878
India Vs England,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,T20I # 1878
India Vs England,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
India Vs England,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,T20I # 1878
India Vs England,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,T20I # 1878
India Vs England,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,T20I # 1878
India Vs England,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,T20I # 1878
India Vs England,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,T20I # 1878
India Vs England,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,T20I # 1878
Pakistan Vs England,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,T20I # 1879
Pakistan Vs England,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
Pakistan Vs England,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,T20I # 1879
Pakistan Vs England,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,T20I # 1879
Pakistan Vs England,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
Pakistan Vs England,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,T20I # 1879
Pakistan Vs England,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,T20I # 1879
Pakistan Vs England,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,T20I # 1879
Pakistan Vs England,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
Pakistan Vs England,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,T20I # 1879
Pakistan Vs England,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,T20I # 1879
Pakistan Vs England,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,T20I # 1879
